order_id,customer_id,province,amount,status,order_date
1,41906,HaNoi,3710337.0,COMPLETED,2025-04-25
2,9145,ThanhHoa,3386730.0,PENDING,2025-08-05
3,2083,HaNoi,1101003.0,PENDING,2025-10-15
4,13032,NgheAn,3509612.0,SHIPPING,2025-04-23
5,29440,CanTho,4049058.0,PENDING,2025-03-23
6,45754,HoChiMinh,1396578.0,COMPLETED,2025-06-22
7,6699,HaNoi,492615.0,CANCELLED,2025-05-16
8,2848,NgheAn,2685778.0,SHIPPING,2025-02-10
9,36179,HoChiMinh,3146913.0,CANCELLED,2025-10-23
10,12602,NgheAn,238664.0,COMPLETED,2025-05-29
11,5230,BinhDuong,4333753.0,SHIPPING,2025-05-23
12,29715,HaiPhong,1830513.0,CANCELLED,2025-07-01
13,13731,NgheAn,3512083.0,PENDING,2025-03-29
14,35006,NgheAn,825378.0,SHIPPING,2025-05-19
15,41944,NgheAn,1105880.0,CANCELLED,2025-01-29
16,15011,BinhDuong,4027179.0,SHIPPING,2025-05-18
17,4338,HaNoi,4715119.0,CANCELLED,2025-04-19
18,42955,DaNang,4424569.0,SHIPPING,2025-03-15
19,17360,HaNoi,3727495.0,CANCELLED,2025-10-27
20,28078,DongNai,2003009.0,COMPLETED,2025-03-12
21,33393,DaNang,3781353.0,PENDING,2025-03-20
22,41121,HaNoi,3405601.0,PENDING,2025-07-17
23,25010,HaiPhong,2345569.0,CANCELLED,2025-10-11
24,753,NgheAn,581613.0,CANCELLED,2025-06-24
25,7311,HoChiMinh,799207.0,PENDING,2025-05-15
26,32807,ThanhHoa,2543332.0,PENDING,2025-06-02
27,41875,DaNang,1002566.0,CANCELLED,2025-03-24
28,35349,KhanhHoa,4612946.0,PENDING,2025-06-15
29,32022,HaNoi,4646202.0,CANCELLED,2025-05-03
30,3797,HaNoi,2841111.0,PENDING,2025-02-13
31,47967,DaNang,355370.0,COMPLETED,2025-03-07
32,43238,DaNang,2753520.0,CANCELLED,2025-09-28
33,39754,HoChiMinh,1066873.0,COMPLETED,2025-06-09
34,26149,KhanhHoa,3252892.0,SHIPPING,2025-09-22
35,29589,HaNoi,1131240.0,CANCELLED,2025-01-11
36,38556,CanTho,2946316.0,PENDING,2025-02-06
37,46390,HaiPhong,1152420.0,PENDING,2025-06-19
38,4644,DaNang,1399602.0,SHIPPING,2025-04-20
39,35340,HaNoi,4678216.0,SHIPPING,2025-05-05
40,30997,BinhDuong,960145.0,PENDING,2025-08-09
41,23220,HoChiMinh,2340453.0,PENDING,2025-02-20
42,3973,HoChiMinh,1703120.0,PENDING,2025-05-08
43,12557,HaNoi,2248582.0,SHIPPING,2025-04-04
44,18255,DaNang,4373685.0,PENDING,2025-08-15
45,36067,HaNoi,3264203.0,PENDING,2025-02-17
46,49386,BinhDuong,839892.0,SHIPPING,2025-09-04
47,14009,BinhDuong,4513190.0,COMPLETED,2025-07-14
48,142,KhanhHoa,1333363.0,SHIPPING,2025-05-27
49,27723,NgheAn,3655222.0,SHIPPING,2025-03-21
50,12446,HoChiMinh,4843860.0,PENDING,2025-06-10
51,3747,HaNoi,2389175.0,COMPLETED,2025-01-30
52,33282,HaNoi,937267.0,PENDING,2025-05-01
53,26462,HaNoi,4452534.0,COMPLETED,2025-10-24
54,38963,HaNoi,419097.0,CANCELLED,2025-05-14
55,13387,HaiPhong,1577777.0,CANCELLED,2025-07-22
56,8578,NgheAn,1506985.0,CANCELLED,2025-02-07
57,611,DaNang,4992288.0,PENDING,2025-02-07
58,35235,HaNoi,1333350.0,CANCELLED,2025-02-05
59,16010,HoChiMinh,797157.0,CANCELLED,2025-09-28
60,513,HaiPhong,2777465.0,PENDING,2025-03-10
61,17333,HaNoi,544110.0,COMPLETED,2025-05-20
62,18466,HaiPhong,3590885.0,COMPLETED,2025-05-16
63,33123,DaNang,4527629.0,PENDING,2025-02-17
64,41569,HoChiMinh,1390634.0,PENDING,2025-06-20
65,8574,HaiPhong,1317157.0,SHIPPING,2025-10-10
66,46247,HoChiMinh,58252.0,PENDING,2025-03-18
67,35756,HaNoi,1852388.0,COMPLETED,2025-08-09
68,8353,HaNoi,1829611.0,PENDING,2025-07-03
69,13768,NgheAn,3337998.0,CANCELLED,2025-10-14
70,26633,KhanhHoa,3749893.0,COMPLETED,2025-03-25
71,11604,DongNai,133684.0,CANCELLED,2025-07-30
72,43904,BinhDuong,4055639.0,CANCELLED,2025-03-23
73,45959,HaNoi,4362112.0,SHIPPING,2025-04-24
74,13080,BinhDuong,2306913.0,CANCELLED,2025-04-27
75,14610,HaNoi,973718.0,CANCELLED,2025-05-23
76,4550,KhanhHoa,1402834.0,SHIPPING,2025-10-02
77,21703,DongNai,585555.0,CANCELLED,2025-04-02
78,38050,KhanhHoa,1334677.0,PENDING,2025-08-11
79,22655,NgheAn,1575250.0,PENDING,2025-07-17
80,37788,HaNoi,231489.0,SHIPPING,2025-01-01
81,34074,DongNai,2696875.0,COMPLETED,2025-07-06
82,28266,HaNoi,3324546.0,CANCELLED,2025-06-10
83,43476,BinhDuong,3601574.0,CANCELLED,2025-09-17
84,20270,HaiPhong,1637653.0,CANCELLED,2025-10-11
